address,price,beds,baths,area,zpid,id,detailUrl,marketingStatusSimplifiedCd,builderName,isUndisclosedAddress,isZillowOwned,beds_missing,baths_missing,area_missing,lotArea_acres,latitude,longitude,builderName_encoded,price_per_sq_ft,price_range
"610 Rock Creek Church Rd NW, Washington, DC 20010",0.26295545454545455,8.0,3.0,0.229,478369,478369,https://www.zillow.com/homedetails/610-Rock-Creek-Church-Rd-NW-Washington-DC-20010/478369_zpid/,coming_soon,,0,0,0,0,0,0.0,38.937244,-77.01974,91,291.4857238831038,Medium
"1801 Clydesdale Pl NW APT 702, Washington, DC 20009",0.056969696969696976,0.0,1.0,0.033,2109780652,2109780652,https://www.zillow.com/homedetails/1801-Clydesdale-Pl-NW-APT-702-Washington-DC-20009/2109780652_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.92622,-77.04346,91,438.2284382284382,Low
"710 Kenyon St NW #1, Washington, DC 20010",0.24996969696969698,4.0,4.0,0.14615384615384616,183134700,183134700,https://www.zillow.com/homedetails/710-Kenyon-St-NW-1-Washington-DC-20010/183134700_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.92973,-77.02408,91,434.1578947368421,Medium
"4303 16th St NW, Washington, DC 20011",0.5451515151515152,7.0,7.0,0.3527692307692308,468545,468545,https://www.zillow.com/homedetails/4303-16th-St-NW-Washington-DC-20011/468545_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.94322,-77.03606,91,392.2808547754034,High
"2039 New Hampshire Ave NW #303, Washington, DC 20009",0.12878787878787878,1.0,1.0,0.08461538461538462,2119808075,2119808075,https://www.zillow.com/homedetails/2039-New-Hampshire-Ave-NW-303-Washington-DC-20009/2119808075_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.91788,-77.03537,91,386.3636363636364,Low
"2400 41st St NW APT 504, Washington, DC 20007",0.13633333333333333,2.0,1.0,0.07161538461538462,443597,443597,https://www.zillow.com/homedetails/2400-41st-St-NW-APT-504-Washington-DC-20007/443597_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.92215,-77.08111,91,483.2438238453276,Low
"903 Quincy St NW #101, Washington, DC 20011",0.33181818181818185,4.0,4.0,0.16538461538461538,348962171,348962171,https://www.zillow.com/homedetails/903-Quincy-St-NW-101-Washington-DC-20011/348962171_zpid/,new_construction,,0,0,0,0,0,0.0,38.93781,-77.02529,91,509.30232558139534,High
"4111 Connecticut Ave NW PENTHOUSE 604, Washington, DC 20008",0.303,2.0,2.0,0.08984615384615385,339416073,339416073,https://www.zillow.com/homedetails/4111-Connecticut-Ave-NW-PENTHOUSE-604-Washington-DC-20008/339416073_zpid/,new_construction,,0,0,0,0,0,0.0,38.94266,-77.06225,91,856.0787671232877,Medium
"1310 Spring Rd NW PENTHOUSE B, Washington, DC 20010",0.2272727272727273,2.0,3.0,0.08761538461538462,311111329,311111329,https://www.zillow.com/homedetails/1310-Spring-Rd-NW-PENTHOUSE-B-Washington-DC-20010/311111329_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.93612,-77.03014,91,658.4723441615453,Medium
"710 Otis Pl NW #1, Washington, DC 20010",0.2726969696969697,3.0,4.0,0.15646153846153846,347720531,347720531,https://www.zillow.com/homedetails/710-Otis-Pl-NW-1-Washington-DC-20010/347720531_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.93447,-77.0226,91,442.4287118977384,Medium
"4201 Cathedral Ave NW APT 506E, Washington, DC 20016",0.0803030303030303,1.0,1.0,0.0683076923076923,442108,442108,https://www.zillow.com/homedetails/4201-Cathedral-Ave-NW-APT-506E-Washington-DC-20016/442108_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.93118,-77.0818,91,298.4234234234234,Low
"1744 Lanier #3, Washington, DC 20009",0.34212121212121216,3.0,2.0,0.09038461538461538,350865206,350865206,https://www.zillow.com/homedetails/1744-Lanier-3-Washington-DC-20009/350865206_zpid/,new_construction,,0,0,0,0,0,0.0,38.92455,-77.04148,91,960.8510638297872,High
"4201 Cathedral Ave NW APT 610W, Washington, DC 20016",0.11151515151515153,1.0,1.0,0.06838461538461539,440849,440849,https://www.zillow.com/homedetails/4201-Cathedral-Ave-NW-APT-610W-Washington-DC-20016/440849_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.93118,-77.0818,91,413.9482564679415,Low
"1354 Euclid St NW #1356-403A, Washington, DC 20009",0.24996969696969698,3.0,3.0,0.09746153846153846,345669012,345669012,https://www.zillow.com/homedetails/1354-Euclid-St-NW-1356-403A-Washington-DC-20009/345669012_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.92356,-77.03131,91,651.0655090765588,Medium
"926 Euclid St NW, Washington, DC 20001",0.26333333333333336,5.0,4.0,0.17307692307692307,474083,474083,https://www.zillow.com/homedetails/926-Euclid-St-NW-Washington-DC-20001/474083_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.9238,-77.0252,91,386.22222222222223,Medium
"4922 Earlston Dr, Bethesda, MD 20816",0.8309090909090909,6.0,7.0,0.0,37175009,37175009,https://www.zillow.com/homedetails/4922-Earlston-Dr-Bethesda-MD-20816/37175009_zpid/,coming_soon,"Paramount Construction, Inc.",0,0,0,0,0,0.0,38.9553,-77.10141,95,0.0,High
"3904 8th St NW, Washington, DC 20011",0.393939393939394,4.0,3.0,0.2653846153846154,478011,478011,https://www.zillow.com/homedetails/3904-8th-St-NW-Washington-DC-20011/478011_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.93902,-77.0235,91,376.81159420289856,High
"9801 Grayson Ave, Silver Spring, MD 20901",0.16963636363636364,3.0,3.0,0.11830769230769231,37278134,37278134,https://www.zillow.com/homedetails/9801-Grayson-Ave-Silver-Spring-MD-20901/37278134_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,39.0157,-77.02053,91,363.97919375812745,Medium
"11361 King George Dr #8, Wheaton, MD 20902",0.16666666666666669,3.0,3.0,0.13538461538461538,58245126,58245126,https://www.zillow.com/homedetails/11361-King-George-Dr-8-Wheaton-MD-20902/58245126_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,39.03996,-77.04571,91,312.5,Medium
"4000 Cathedral Ave NW APT 451B, Washington, DC 20016",0.10272727272727274,1.0,1.0,0.08461538461538462,345114150,345114150,https://www.zillow.com/homedetails/4000-Cathedral-Ave-NW-APT-451B-Washington-DC-20016/345114150_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.927708,-77.07996,91,308.1818181818182,Low
"1390 Kenyon St NW APT 613, Washington, DC 20010",0.1603030303030303,2.0,2.0,0.07553846153846154,82298142,82298142,https://www.zillow.com/homedetails/1390-Kenyon-St-NW-APT-613-Washington-DC-20010/82298142_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.92963,-77.03221,91,538.6965376782077,Medium
"3883 Connecticut Ave NW #P-30, Washington, DC 20008",0.006060606060606061,0.0,0.0,0.0,2080041894,2080041894,https://www.zillow.com/homedetails/3883-Connecticut-Ave-NW-P-30-Washington-DC-20008/2080041894_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.9402,-77.05993,91,0.0,Low
"1316 Irving St NW, Washington, DC 20010",0.393939393939394,6.0,5.0,0.17846153846153848,68071297,68071297,https://www.zillow.com/homedetails/1316-Irving-St-NW-Washington-DC-20010/68071297_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.92841,-77.03038,91,560.3448275862069,High
"831 Longfellow St NW, Washington, DC 20011",0.3181818181818182,4.0,4.0,0.17884615384615385,476987,476987,https://www.zillow.com/homedetails/831-Longfellow-St-NW-Washington-DC-20011/476987_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.95757,-77.02524,91,451.61290322580646,High
