city,state,zipcode,bedrooms,bathrooms,price,yearBuilt,lotSize,livingArea,daysOnZillow,monthlyHoaFee,latitude,longitude,homeType,streetAddress,zestimate,propertyTaxRate,bedrooms_missing,bathrooms_missing,yearBuilt_missing,livingArea_missing,price_per_sqft
Rockville,MD,20851,4.0,2.0,595000,1953.0,5031.0,1604.0,7,0.0,39.06786,-77.11785,SINGLE_FAMILY,5815 Ridgway Ave,619800.0,0.81,0,0,0,0,370.9476309226933
Rockville,MD,20852,4.0,2.0,1149000,1983.0,12761.0,3004.0,1,7.0,39.05481,-77.141,SINGLE_FAMILY,1008 Farm Haven Dr,1017900.0,0.81,0,0,0,0,382.49001331557923
Rockville,MD,20852,4.0,4.0,895000,1979.0,2274.0,2810.0,1,201.0,39.04294,-77.12076,TOWNHOUSE,11404 Dorchester Ln,882000.0,0.81,0,0,0,0,318.5053380782918
Silver Spring,MD,20902,3.0,2.0,330000,1950.0,4200.0,1008.0,91,0.0,39.05115,-77.06934,SINGLE_FAMILY,11904 Valleywood Dr,,0.81,0,0,0,0,327.3809523809524
Potomac,MD,20854,6.0,5.0,1800000,1967.0,22230.0,3390.0,1,0.0,39.01933,-77.17447,SINGLE_FAMILY,1 Hartman Ct,,0.81,0,0,0,0,530.9734513274336
Kensington,MD,20895,5.0,3.0,799000,1959.0,9278.752391886721,2520.0,5,0.0,39.02094,-77.07235,SINGLE_FAMILY,3511 Frederick Pl,829100.0,0.81,0,0,0,0,317.06349206349205
Rockville,MD,20851,3.0,2.0,495000,1951.0,7153.0,1604.0,2,0.0,39.07301,-77.13237,SINGLE_FAMILY,1127 Lewis Ave,532400.0,0.81,0,0,0,0,308.6034912718205
Rockville,MD,20852,4.0,2.0,589900,1958.0,6000.0,1482.0,6,0.0,39.04284,-77.09642,SINGLE_FAMILY,11419 Schuylkill Rd,,0.81,0,0,0,0,398.04318488529015
Bethesda,MD,20814,3.0,2.0,635000,1973.0,9278.752391886721,1962.0,5,2379.0,39.01525,-77.10661,CONDO,5225 Pooks Hill Rd APT 923S,644100.0,0.0,0,0,0,0,323.6493374108053
Rockville,MD,20854,4.0,3.0,900000,1972.0,12208.0,2271.0,6,0.0,39.06265,-77.18822,SINGLE_FAMILY,9117 Willow Pond Ln,950000.0,0.81,0,0,0,0,396.3011889035667
Kensington,MD,20895,4.0,3.0,1025000,1950.0,7829.0,2886.0,5,0.0,39.02716,-77.08588,SINGLE_FAMILY,4407 Brookfield Dr,1238800.0,0.81,0,0,0,0,355.1628551628552
Chevy Chase,MD,20815,4.0,2.0,1249000,1933.0,5886.0,2314.0,14,0.0,38.98417,-77.08303,SINGLE_FAMILY,7415 Ridgewood Ave,1238300.0,0.81,0,0,0,0,539.7579948141746
Rockville,MD,20851,4.0,3.0,599900,1963.0,7882.0,1618.0,6,0.0,39.0686,-77.11449,SINGLE_FAMILY,12914 Twinbrook Pkwy,612400.0,0.81,0,0,0,0,370.7663782447466
Bethesda,MD,20817,3.0,4.0,1175000,1998.0,3920.0,3419.0,6,167.0,38.98098,-77.13354,TOWNHOUSE,7321 Bannockburn Ridge Ct,1205400.0,0.81,0,0,0,0,343.6677391050015
Rockville,MD,20850,2.0,2.0,250000,1971.0,9278.752391886721,1231.0,6,1344.0,39.08262,-77.14756,CONDO,118 Monroe St APT 1010,249900.0,0.81,0,0,0,0,203.08692120227457
Chevy Chase,MD,20815,2.0,2.0,324500,1968.0,9278.752391886721,1030.0,96,864.0,38.96295,-77.08984,CONDO,5500 Friendship Blvd APT 2326N,,0.81,0,0,0,0,315.0485436893204
Rockville,MD,20853,1.0,1.0,210000,1967.0,942.0,941.0,1,551.0,39.09292,-77.10975,SINGLE_FAMILY,14624 Bauer Dr #14624,208400.0,0.81,0,0,0,0,223.16684378320934
Kensington,MD,20895,4.0,3.0,695000,1961.0,8247.0,1940.0,224,0.0,39.04096,-77.08418,SINGLE_FAMILY,11221 Dewey Ct,659400.0,0.81,0,0,0,0,358.2474226804124
Rockville,MD,20851,4.0,2.0,550000,1951.0,6118.0,1200.0,7,0.0,39.07305,-77.11741,SINGLE_FAMILY,5716 Crawford Dr,,0.81,0,0,0,0,458.3333333333333
Rockville,MD,20850,6.0,4.0,975000,1970.0,14145.0,2400.0,2,229.0,39.07778,-77.15684,SINGLE_FAMILY,6 Bentana Ct,926300.0,0.81,0,0,0,0,406.25
Kensington,MD,20895,3.0,2.0,525000,1952.0,5880.0,1161.0,3,0.0,39.03762,-77.07578,SINGLE_FAMILY,11103 Brandywine St,544000.0,0.81,0,0,0,0,452.1963824289406
Chevy Chase,MD,20815,4.0,4.0,2400000,1916.0,10000.0,3378.0,9,0.0,38.97877,-77.0758,SINGLE_FAMILY,6812 Delaware St,2394900.0,0.81,0,0,0,0,710.4795737122557
Rockville,MD,20852,4.0,3.0,730000,1963.0,7817.0,1840.0,6,0.0,39.05189,-77.10178,SINGLE_FAMILY,5102 Macon Rd,740700.0,0.81,0,0,0,0,396.7391304347826
Washington,DC,20003,3.0,3.0,1490000,1908.0,1673.0,1758.0,6,0.0,38.88203,-76.99241,TOWNHOUSE,516 10th St SE,,0.58,0,0,0,0,847.5540386803185
Washington,DC,20002,3.0,3.0,649900,2024.0,9278.752391886721,2200.0,2,258.0,38.90672,-76.98522,TOWNHOUSE,1253 Holbrook Ter NE #A,,0.58,0,0,0,0,295.40909090909093
Arlington,VA,22205,3.0,2.0,949500,1940.0,8360.0,2070.0,0,0.0,38.88635,-77.14451,SINGLE_FAMILY,6000 Washington Blvd,1010700.0,0.91,0,0,0,0,458.69565217391306
Silver Spring,MD,20902,4.0,2.0,385000,1950.0,4014.0,1154.0,6,0.0,39.05426,-77.06992,SINGLE_FAMILY,12117 Centerhill St,393500.0,0.81,0,0,0,0,333.6221837088388
Capitol Heights,MD,20743,3.0,2.0,225000,1940.0,8000.0,1146.0,3,0.0,38.87399,-76.92736,SINGLE_FAMILY,1208 Elfin Ave,227000.0,1.07,0,0,0,0,196.33507853403142
Capitol Heights,MD,20743,3.0,2.0,330000,1990.0,1500.0,1160.0,5,58.0,38.8849,-76.87949,TOWNHOUSE,7311 Shady Glen Ter,331900.0,1.07,0,0,0,0,284.48275862068965
Washington,DC,20002,3.0,3.0,499000,1928.0,9278.752391886721,1569.0,71,230.0,38.909042,-76.9874,CONDO,1645 W Virginia Ave NE APT 1,485100.0,0.58,0,0,0,0,318.03696622052263
Silver Spring,MD,20902,2.0,3.0,259000,1969.0,9278.752391886721,1312.0,12,1424.0,39.01756,-77.0448,CONDO,9900 Georgia Ave #27-211,261700.0,0.81,0,0,0,0,197.40853658536585
Washington,DC,20037,2.0,3.0,859000,1910.0,9278.752391886721,936.0,5,656.0,38.90459,-77.05348,TOWNHOUSE,1124 25th St NW APT 203,866600.0,0.58,0,0,0,0,917.7350427350427
Washington,DC,20037,1.0,1.0,310000,1961.0,9278.752391886721,745.0,42,941.0,38.8991,-77.05175,CONDO,730 24th St NW APT 406,296600.0,0.0,0,0,0,0,416.10738255033556
Washington,DC,20037,2.0,2.0,750000,1890.0,9278.752391886721,1144.0,8,200.0,38.90824,-77.04907,CONDO,1332 22nd St NW APT 1,,0.58,0,0,0,0,655.5944055944055
Capitol Heights,MD,20743,5.0,2.0,299900,1949.0,6250.0,1275.0,34,0.0,38.88465,-76.90979,SINGLE_FAMILY,404 Suffolk Ave,296300.0,1.07,0,0,0,0,235.2156862745098
Washington,DC,20037,1.0,1.0,350000,1947.0,9278.752391886721,550.0,8,517.0,38.90708,-77.04809,CONDO,2130 N St NW APT 209,,0.58,0,0,0,0,636.3636363636364
Washington,DC,20037,2.0,2.0,725000,1965.0,9278.752391886721,0.0,6,1585.0,38.90004,-77.05627,CONDO,2700 Virginia Ave NW #910,,0.0,0,0,0,0,inf
Washington,DC,20037,0.0,1.0,205000,1966.0,9278.752391886721,475.0,4,0.0,38.9021,-77.05357,CONDO,950 25th St NW #825,355300.0,0.0,0,0,0,0,431.57894736842104
Washington,DC,20037,2.0,2.0,649000,1971.0,9278.752391886721,1264.0,51,2296.0,38.898457,-77.054855,CONDO,700 New Hampshire Ave NW #916,625900.0,0.0,0,0,0,0,513.4493670886076
Washington,DC,20037,1.0,2.0,525000,1970.0,9278.752391886721,1295.0,6,1459.0,38.900105,-77.05597,CONDO,2700 Virginia Ave NW UNIT 504,516600.0,0.0,0,0,0,0,405.4054054054054
Washington,DC,20037,1.0,2.0,728000,2005.0,166.0,1040.0,69,726.0,38.90479,-77.05303,APARTMENT,1111 25th St NW APT 508,702000.0,0.58,0,0,0,0,700.0
Washington,DC,20037,1.0,1.0,265000,1966.0,9278.752391886721,600.0,234,0.0,38.90207,-77.05372,CONDO,950 25th St NW APT 814N,250000.0,0.0,0,0,0,0,441.6666666666667
Washington,DC,20037,1.0,1.0,285000,1966.0,9278.752391886721,650.0,4,1264.0,38.9021,-77.05357,CONDO,950 25th St NW #1027,,0.0,0,0,0,0,438.46153846153845
Washington,DC,20036,4.0,7.0,29950000,1881.0,9278.752391886721,23600.0,392,13462.0,38.9099,-77.04516,CONDO,2000 Massachusetts Ave NW,,0.58,0,0,0,0,1269.0677966101696
Washington,DC,20036,1.0,1.0,319000,1963.0,9278.752391886721,504.0,33,534.0,38.90807,-77.04491,CONDO,1330 New Hampshire Ave NW APT 424,303500.0,0.58,0,0,0,0,632.936507936508
Washington,DC,20036,5.0,5.0,2499900,1900.0,1200.0,3660.0,3,0.0,38.90942,-77.03906,TOWNHOUSE,1710 P St NW,2483800.0,0.58,0,0,0,0,683.0327868852459
Washington,DC,20036,2.0,3.0,1495000,2017.0,9278.752391886721,1466.0,30,1289.0,38.90738,-77.03996,CONDO,1745 N St NW #410,,0.58,0,0,0,0,1019.7817189631651
Hyattsville,MD,20783,3.0,3.0,480000,1962.0,10981.0,1694.0,1,0.0,39.02531,-76.96017,SINGLE_FAMILY,10513 Truxton Rd,428700.0,1.07,0,0,0,0,283.3530106257379
Washington,DC,20036,1.0,1.0,425000,1914.0,9278.752391886721,600.0,62,608.0,38.90935,-77.03995,CONDO,1734 P St NW APT 53,403800.0,0.0,0,0,0,0,708.3333333333334
Washington,DC,20036,0.0,1.0,265000,1965.0,9278.752391886721,333.0,37,393.0,38.90887,-77.03984,CONDO,1727 Massachusetts Ave NW #405,250000.0,0.58,0,0,0,0,795.7957957957958
Washington,DC,20037,3.0,2.0,687500,1955.0,9278.752391886721,1650.0,64,2566.0,38.89909,-77.05252,CONDO,2475 Virginia Ave NW #222,,0.0,0,0,0,0,416.6666666666667
Washington,DC,20036,0.0,0.0,40000,1968.0,9278.752391886721,0.0,181,34.0,38.90946,-77.03933,CONDO,1718 P St NW #P46,,0.58,0,0,0,0,inf
Washington,DC,20036,11.0,5.0,3750000,1880.0,1394.0,4358.0,422,0.0,38.90781,-77.0437,TOWNHOUSE,1314 19th St NW,,0.58,0,0,0,0,860.4864616796696
Washington,DC,20037,1.0,1.0,599900,1900.0,9278.752391886721,670.0,146,292.0,38.90416,-77.05394,TOWNHOUSE,2525 Pennsylvania Ave NW #305,567000.0,0.58,0,0,0,0,895.3731343283582
